관측소명,주소,위도,경도,표고,심도,케이싱구경,측정항목
감시 1-1,제주시 조천읍 교래리 산676,126 40 22.29,33 25 01.90,440,400,75,"수위, 수온, 전기전도도"
감시 1-2,제주시 조천읍 교래리 산676,126 40 22.43,33 25 02.13,440,400,75,"수위, 수온, 전기전도도"
감시 1-3,제주시 조천읍 교래리 산676,126 40 23.72,33 25 02.84,440,400,75,"수위, 수온, 전기전도도"
감시 1-4,제주시 조천읍 교래리 산676,126 40 24.50,33 25 03.07,439,400,75,"수위, 수온, 전기전도도"
감시 1-5,제주시 조천읍 교래리 산676,126 40 23.71,33 25 02.19,440,400,75,"수위, 수온, 전기전도도"
감시 1-6,제주시 조천읍 교래리 산70-1,126 40 07.14,33 24 45.99,469,420,200,"수위, 수온, 전기전도도"
감시 1-7,제주시 조천읍 교래리  산137-5,126 37 14.65,33 24 37.89,630,630,200,"수위, 수온, 전기전도도"
감시 1-8,제주시 조천읍 교래리  산675-2,126 40 20.98,33 25 09.49,435,440,200,"수위, 수온, 전기전도도"
감시 1-9,제주시 조천읍 교래리  산70-7,126 40 31.85,33 24 51.38,445,440,200,"수위, 수온, 전기전도도"
감시 2-1,제주시 조천읍 교래리 산70-2,126 40 10.42,33 24 33.75,471,420,200,"수위, 수온, 전기전도도"
감시 2-2,제주시 조천읍 교래리 산70-2,126 40 11.52,33 24 33.60,470,400,200,"수위, 수온, 전기전도도"
감시 2-3,제주시 조천읍 교래리 산70-2,126 40 12.68,33 24 34.27,468,425,250,"수위, 수온, 전기전도도"
감시 2-4,제주시 조천읍 교래리 산70-2,126 40 13.40,33 24 34.61,467,400,200,"수위, 수온, 전기전도도"
감시 2-5,제주시 조천읍 교래리 산70-7,126 40 20.38,33 24 51.08,455,400,200,"수위, 수온, 전기전도도"
취수 1,제주시 조천읍 교래리 산676,126 40 22.90,33 25 02.10,440,420,250,"수위, 수온"
취수 2,제주시 조천읍 교래리 산676,126 40 23.10,33 25 02.00,440,420,250,"수위, 수온"
취수 3,제주시 조천읍 교래리 산676,126 40 22.75,33 25 01.92,440,420,250,"수위, 수온"
취수 4,제주시 조천읍 교래리 산70-2,126 40 11.98,33 24 33.90,469,410,300,"수위, 수온"
취수 5,제주시 조천읍 교래리 산70-2,126 40 12.01,33 24 34.12,469,410,300,"수위, 수온"
취수 6,제주시 조천읍 교래리 산70-2,126 40 12.24,33 24 33.84,469,410,300,"수위, 수온"
제4교래교(하천),제주시 조천읍 교래리 818,126 40 34.22,33 25 39.29,418,,,"수위, 유속"
삼다수(기상),제주시 조천읍 교래리 산70-27,126 40 23.70,33 25 04.40,441,,,"강수량, 기온, 풍향 등"
